"id","start_date","start_time","end_date","end_time"
"411300020","2020-10-15 Thu","16:58:49","2020-10-15 Thu","17:36:57"
"411300020","2020-10-15 Thu","18:54:13","2020-10-15 Thu","19:09:04"
"411300020","2020-10-16 Fri","13:50:50","2020-10-16 Fri","14:07:23"
"411330020","2020-10-15 Thu","22:00:08","2020-10-15 Thu","22:24:02"
"411350010","2020-10-15 Thu","16:43:50","2020-10-15 Thu","17:21:22"
"411350010","2020-10-15 Thu","17:36:57","2020-10-15 Thu","18:15:33"
"411350010","2020-10-15 Thu","20:31:48","2020-10-15 Thu","21:14:06"
"411350010","2020-10-15 Thu","23:10:07","2020-10-15 Thu","23:55:13"
"411350010","2020-10-16 Fri","15:58:56",\t,\t
"411350020","2020-10-15 Thu","22:00:08","2020-10-15 Thu","22:24:02"
"411350020","2020-10-15 Thu","22:47:33","2020-10-15 Thu","23:33:37"
"411350030","2020-10-16 Fri","15:58:56",\t,\t
"411700010","2020-10-15 Thu","16:35:50","2020-10-15 Thu","17:05:39"
"411730010","2020-10-15 Thu","16:19:15","2020-10-15 Thu","16:43:50"
"411730010","2020-10-15 Thu","18:54:13","2020-10-15 Thu","19:31:20"
"411730010","2020-10-15 Thu","21:37:21","2020-10-15 Thu","22:00:08"
"411730010","2020-10-16 Fri","13:43:03","2020-10-16 Fri","13:50:50"
"411730010","2020-10-16 Fri","15:58:56",\t,\t
"411900010","2020-10-16 Fri","02:10:10","2020-10-16 Fri","13:43:03"
"412200010","2020-10-15 Thu","18:15:33","2020-10-15 Thu","18:23:40"
"412200010","2020-10-16 Fri","13:43:03","2020-10-16 Fri","14:07:23"
"412200010","2020-10-16 Fri","14:40:47","2020-10-16 Fri","15:58:56"
"412730010","2020-10-15 Thu","22:47:33","2020-10-15 Thu","23:10:07"
"412870010","2020-10-15 Thu","16:19:15","2020-10-15 Thu","16:43:50"
"412870010","2020-10-16 Fri","13:43:03","2020-10-16 Fri","15:58:56"
"412900020","2020-10-15 Thu","16:19:15","2020-10-15 Thu","16:35:50"
"413600050","2020-10-15 Thu","17:13:03","2020-10-15 Thu","17:52:20"
"413600050","2020-10-15 Thu","18:00:08","2020-10-15 Thu","18:31:30"
"413900020","2020-10-15 Thu","17:29:33","2020-10-15 Thu","17:44:24"
"413900020","2020-10-15 Thu","20:23:54","2020-10-15 Thu","20:55:09"
"414300020","2020-10-15 Thu","19:23:57","2020-10-15 Thu","19:53:33"
"414300020","2020-10-15 Thu","20:01:26","2020-10-15 Thu","20:31:48"
"414300020","2020-10-16 Fri","13:50:50","2020-10-16 Fri","14:15:22"
"414300030","2020-10-15 Thu","17:21:22","2020-10-15 Thu","18:00:08"
"414300030","2020-10-15 Thu","19:01:41","2020-10-15 Thu","19:16:17"
"414300030","2020-10-15 Thu","21:37:21","2020-10-15 Thu","22:00:08"
"414300030","2020-10-16 Fri","01:25:11","2020-10-16 Fri","02:10:10"
"414500040","2020-10-15 Thu","16:27:43","2020-10-15 Thu","16:35:50"
"414500040","2020-10-16 Fri","14:40:47","2020-10-16 Fri","15:58:56"
"414800020","2020-10-15 Thu","16:19:15","2020-10-15 Thu","16:51:30"
"414800020","2020-10-15 Thu","19:09:04","2020-10-15 Thu","19:16:17"
"415000020","2020-10-15 Thu","22:47:33","2020-10-15 Thu","23:10:07"
"415000040","2020-10-15 Thu","17:13:03","2020-10-15 Thu","17:52:20"
"415000040","2020-10-15 Thu","19:01:41","2020-10-15 Thu","19:38:45"
"415000040","2020-10-16 Fri","00:40:11","2020-10-16 Fri","01:25:11"
"415900070","2020-10-15 Thu","19:23:57","2020-10-15 Thu","20:01:26"
"416100010","2020-10-15 Thu","17:52:20","2020-10-15 Thu","18:31:30"
"421300030","2020-10-16 Fri","15:58:56",\t,\t
"421300040","2020-10-15 Thu","16:19:15",\t,\t
"421500010","2020-10-16 Fri","15:58:56",\t,\t
"421500040","2020-10-15 Thu","16:19:15","2020-10-16 Fri","15:58:56"
"421700020","2020-10-15 Thu","17:36:57","2020-10-15 Thu","18:38:52"
"421700020","2020-10-15 Thu","20:16:24","2020-10-15 Thu","20:31:48"
"421700020","2020-10-15 Thu","20:55:09","2020-10-15 Thu","21:37:21"
"427300040","2020-10-15 Thu","16:19:15","2020-10-15 Thu","19:01:41"
"427300040","2020-10-15 Thu","20:16:24",\t,\t
